id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name,article
http://www.wikidata.org/entity/Q213217,Mafia,,,,"Mafia 1, Mafia: The City of Lost Heaven",Mafia (video game),https://en.wikipedia.org/wiki/Mafia_(video_game)
http://www.wikidata.org/entity/Q211858,DK: King of Swing,,,,,DK King of Swing,https://en.wikipedia.org/wiki/DK_King_of_Swing
http://www.wikidata.org/entity/Q18951,Half-Life 2: Episode One,,,,"HL2 E1, HL2: E1, HL2: Episode One",Half-Life 2: Episode One,https://en.wikipedia.org/wiki/Half-Life_2:_Episode_One
http://www.wikidata.org/entity/Q17724,Spectromancer,,,,,Spectromancer,https://en.wikipedia.org/wiki/Spectromancer
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,,,,,Wolfenstein 3D,https://en.wikipedia.org/wiki/Wolfenstein_3D
http://www.wikidata.org/entity/Q76255,Call of Duty 4: Modern Warfare,,,,"Call of Duty 4, Call of Duty: Modern Warfare, COD4, Modern Warfare, MW1",Call of Duty 4: Modern Warfare,https://en.wikipedia.org/wiki/Call_of_Duty_4:_Modern_Warfare
http://www.wikidata.org/entity/Q81777,Panzer Dragoon Saga,,,,"Azel: Panzer Dragoon RPG, Panzer Dragoon RPG, Panzer Dragoon 3",Panzer Dragoon Saga,https://en.wikipedia.org/wiki/Panzer_Dragoon_Saga
http://www.wikidata.org/entity/Q77596,Picopict,,,,,Picopict,https://en.wikipedia.org/wiki/Picopict
http://www.wikidata.org/entity/Q76868,Assassin's Creed III: Liberation,,,,Assassin's Creed III: Lady Liberty,Assassin's Creed III: Liberation,https://en.wikipedia.org/wiki/Assassin%27s_Creed_III:_Liberation
http://www.wikidata.org/entity/Q81288,Dragon Quest III,,,,"Dragon Quest III: The Seeds of Salvation, Dragon Warrior III",Dragon Quest III,https://en.wikipedia.org/wiki/Dragon_Quest_III
http://www.wikidata.org/entity/Q83115,Fantasy World Dizzy,,,,,Fantasy World Dizzy,https://en.wikipedia.org/wiki/Fantasy_World_Dizzy
http://www.wikidata.org/entity/Q83265,Grand Theft Auto: San Andreas,,,,"San Andreas, GTA: San Andreas, GTA:SA",Grand Theft Auto: San Andreas,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_San_Andreas
http://www.wikidata.org/entity/Q82050,Tales of the Abyss,,,,,Tales of the Abyss,https://en.wikipedia.org/wiki/Tales_of_the_Abyss
http://www.wikidata.org/entity/Q163628,Counter-Strike,,,,"CS, Counterstrike, Counter Strike, Counter-Strike 1.6, CS 1.6, CS1.6, Cstrike, Cstrike 1.6, Half-Life: Counter-Strike",Counter-Strike (video game),https://en.wikipedia.org/wiki/Counter-Strike_(video_game)
http://www.wikidata.org/entity/Q165929,StarCraft,,,,StarCraft1,StarCraft (video game),https://en.wikipedia.org/wiki/StarCraft_(video_game)
http://www.wikidata.org/entity/Q161192,007 Legends,,,,,007 Legends,https://en.wikipedia.org/wiki/007_Legends
http://www.wikidata.org/entity/Q162562,Soul Blazer,,,,Soul Blader,Soul Blazer,https://en.wikipedia.org/wiki/Soul_Blazer
http://www.wikidata.org/entity/Q161202,007: Everything or Nothing,,,,,James Bond 007: Everything or Nothing,https://en.wikipedia.org/wiki/James_Bond_007:_Everything_or_Nothing
http://www.wikidata.org/entity/Q162707,Sonic & Sega All-Stars Racing,,,,Sonic & SEGA All-Stars Racing,Sonic & Sega All-Stars Racing,https://en.wikipedia.org/wiki/Sonic_%26_Sega_All-Stars_Racing
http://www.wikidata.org/entity/Q162751,Metro 2033,,,,,Metro 2033 (video game),https://en.wikipedia.org/wiki/Metro_2033_(video_game)
